City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bathsheba,13.2167,-59.5167,86.61,62,20,18.41,BB,2021-11-04 19:33:00
68,Kruisfontein,-34.0033,24.7314,57.88,87,58,0.2,ZA,2021-11-04 19:33:01
69,Zhigalovo,54.8097,105.1578,4.64,80,100,8.79,RU,2021-11-04 19:33:01
70,Hambantota,6.1241,81.1185,79.12,82,93,12.73,LK,2021-11-04 19:33:02
71,Porto Novo,6.4965,2.6036,82.22,82,86,4.74,BJ,2021-11-04 19:33:03
72,Iqaluit,63.7506,-68.5145,20.93,63,75,4.61,CA,2021-11-04 19:33:03
73,Forest Grove,45.5198,-123.1107,57.51,84,90,5.99,US,2021-11-04 19:33:04
74,Vao,-22.6667,167.4833,69.03,59,100,11.23,NC,2021-11-04 19:33:04
75,Cape Town,-33.9258,18.4232,63.12,85,20,1.01,ZA,2021-11-04 19:28:36
76,Kaitangata,-46.2817,169.8464,51.46,60,100,3.31,NZ,2021-11-04 19:33:05
77,Hobyo,5.3505,48.5268,80.2,74,16,10.42,SO,2021-11-04 19:33:05
78,Komsomolskiy,40.4272,71.7189,36.32,55,75,6.91,UZ,2021-11-04 19:33:05
79,Cidreira,-30.1811,-50.2056,71.28,88,62,12.59,BR,2021-11-04 19:33:01
80,Mnogovershinnyy,53.9353,139.9242,21.4,75,11,2.01,RU,2021-11-04 19:33:06
81,Mantua,45.1667,10.7833,51.98,87,13,1.99,IT,2021-11-04 19:33:06
82,Ushtobe,45.2514,77.9838,6.94,78,0,7.11,KZ,2021-11-04 19:33:06
83,Karaj,35.8355,51.0103,52.32,93,90,16.11,IR,2021-11-04 19:28:41
84,Bluff,-46.6,168.3333,52.81,81,100,2.62,NZ,2021-11-04 19:33:07
85,Bani Walid,31.7566,13.9942,80.29,17,49,9.73,LY,2021-11-04 19:33:07
86,Norman Wells,65.282,-126.8329,17.64,93,20,2.3,CA,2021-11-04 19:33:08
87,San Andres,12.5847,-81.7006,81.91,68,4,2.42,CO,2021-11-04 19:30:13
88,Tigzirt,36.8886,4.1198,57.63,79,97,7.16,DZ,2021-11-04 19:33:08
89,Fortuna,40.5982,-124.1573,58.98,73,75,1.99,US,2021-11-04 19:33:08
90,Flinders,-34.5833,150.8552,64.18,93,100,1.01,AU,2021-11-04 19:28:48
91,Ahipara,-35.1667,173.1667,59.56,92,100,5.91,NZ,2021-11-04 19:33:09
92,Pamanukan,-6.2842,107.8106,80.4,82,100,3.78,ID,2021-11-04 19:33:09
93,Salinopolis,-0.6136,-47.3561,83.55,69,80,5.82,BR,2021-11-04 19:33:09
94,New Norfolk,-42.7826,147.0587,45.75,79,0,1.54,AU,2021-11-04 19:33:10
95,Bonavista,48.6499,-53.1147,45.12,86,40,30.06,CA,2021-11-04 19:33:10
96,Khani,41.9563,42.9566,47.77,78,11,4.72,GE,2021-11-04 19:33:10
97,Warangal,18.0,79.5833,72.1,89,41,3.29,IN,2021-11-04 19:29:58
98,Krasnozerskoye,53.9828,79.2374,16.25,84,100,14.09,RU,2021-11-04 19:33:11
99,Vaini,-21.2,-175.2,77.2,84,100,16.8,TO,2021-11-04 19:33:11
100,Vereeniging,-26.6731,27.9261,68.61,64,86,9.08,ZA,2021-11-04 19:31:15
101,Karangampel,-6.4622,108.4519,82.17,75,100,2.95,ID,2021-11-04 19:33:12
102,Ust-Omchug,61.15,149.6333,-4.13,100,100,0.25,RU,2021-11-04 19:33:12
103,Port Elizabeth,-33.918,25.5701,60.1,82,0,4.61,ZA,2021-11-04 19:33:12
104,Gladstone,-23.85,151.25,67.93,73,29,4.61,AU,2021-11-04 19:31:20
105,Port Alfred,-33.5906,26.891,66.69,86,84,2.15,ZA,2021-11-04 19:33:13
106,Codrington,-38.2667,141.9667,46.51,96,13,4.18,AU,2021-11-04 19:33:14
107,Tuktoyaktuk,69.4541,-133.0374,26.6,86,90,23.02,CA,2021-11-04 19:33:14
108,Morondava,-20.2833,44.2833,77.83,81,0,17.4,MG,2021-11-04 19:33:14
109,Tuatapere,-46.1333,167.6833,52.83,85,99,1.83,NZ,2021-11-04 19:33:15
110,Mingyue,43.1069,128.9217,41.02,80,83,2.75,CN,2021-11-04 19:33:15
111,Marawi,7.9986,124.2928,66.65,92,77,3.96,PH,2021-11-04 19:33:15
112,Ponta Do Sol,32.6667,-17.1,68.72,65,61,7.27,PT,2021-11-04 19:33:15
113,North Bend,43.4065,-124.2243,55.94,94,90,12.66,US,2021-11-04 19:33:16
114,Kishi,9.0833,3.85,81.3,55,37,3.51,NG,2021-11-04 19:33:16
115,Leshukonskoye,64.8989,45.7622,36.3,98,100,6.58,RU,2021-11-04 19:33:16
116,Comodoro Rivadavia,-45.8667,-67.5,67.86,13,0,16.11,AR,2021-11-04 19:33:17
117,Hatta,24.1167,79.6,64.83,43,92,2.77,IN,2021-11-04 19:33:17
118,Tasiilaq,65.6145,-37.6368,24.75,86,100,3.94,GL,2021-11-04 19:33:17
119,Wilmington,34.2257,-77.9447,60.85,58,90,10.36,US,2021-11-04 19:33:18
120,Benjamin Constant,-4.3831,-70.0311,86.13,70,40,9.22,BR,2021-11-04 19:33:18
121,Ambilobe,-13.2,49.05,73.99,81,60,2.82,MG,2021-11-04 19:33:18
122,Ilulissat,69.2167,-51.1,30.22,59,40,18.41,GL,2021-11-04 19:30:35
123,Storforshei,66.4043,14.5233,38.98,93,75,3.44,NO,2021-11-04 19:33:19
124,Kapit,2.0167,112.9333,72.82,100,100,0.87,MY,2021-11-04 19:33:19
125,Bethel,41.3712,-73.414,50.58,46,20,4.61,US,2021-11-04 19:33:19
126,Svetlyy,54.675,20.1347,48.25,74,66,22.32,RU,2021-11-04 19:33:20
127,Thompson,55.7435,-97.8558,30.36,86,75,4.61,CA,2021-11-04 19:33:20
128,Batagay-Alyta,67.8006,130.4114,-9.53,89,6,6.55,RU,2021-11-04 19:33:20
129,Karaton,-6.3424,106.1045,77.16,94,100,0.76,ID,2021-11-04 19:33:21
130,Kirakira,-10.4544,161.9205,80.35,83,95,6.38,SB,2021-11-04 19:33:21
131,Lodja,-3.4833,23.4333,73.45,82,100,2.26,CD,2021-11-04 19:33:21
132,Tiksi,71.6872,128.8694,2.7,75,100,25.39,RU,2021-11-04 19:33:22
133,Korla,41.7597,86.1469,35.55,37,100,16.31,CN,2021-11-04 19:33:22
134,Matara,5.9485,80.5353,76.35,91,89,6.58,LK,2021-11-04 19:33:23
135,Half Moon Bay,37.4636,-122.4286,68.47,72,40,1.01,US,2021-11-04 19:33:23
136,Sterling,39.0062,-77.4286,53.6,45,75,5.99,US,2021-11-04 19:33:23
137,Vila Franca Do Campo,37.7167,-25.4333,69.19,77,100,15.41,PT,2021-11-04 19:33:24
138,Honiara,-9.4333,159.95,78.37,86,100,2.42,SB,2021-11-04 19:33:24
139,Zhicheng,30.2956,111.5047,60.8,90,74,2.33,CN,2021-11-04 19:33:25
140,Okakarara,-20.5833,17.4333,80.74,11,84,13.56,NA,2021-11-04 19:33:25
141,Cabo San Lucas,22.8909,-109.9124,89.62,47,1,3.0,MX,2021-11-04 19:33:25
142,Alto Araguaia,-17.3147,-53.2153,82.26,58,76,6.17,BR,2021-11-04 19:33:26
143,San Quintin,30.4833,-115.95,69.48,68,1,12.44,MX,2021-11-04 19:33:26
144,Port Hardy,50.6996,-127.4199,51.98,100,90,6.91,CA,2021-11-04 19:30:49
145,Cairns,-16.9167,145.7667,75.15,89,75,8.05,AU,2021-11-04 19:33:27
146,Chandbali,20.7833,86.7667,72.09,76,49,2.57,IN,2021-11-04 19:33:27
147,Saldanha,-33.0117,17.9442,62.65,86,100,8.32,ZA,2021-11-04 19:33:28
148,Moranbah,-22.0016,148.0466,67.12,76,0,10.63,AU,2021-11-04 19:33:28
149,Pochutla,15.7432,-96.4661,89.42,55,73,7.27,MX,2021-11-04 19:33:28
150,Elin Pelin,42.6667,23.6,57.02,72,0,3.44,BG,2021-11-04 19:33:28
151,Gemena,3.25,19.7667,72.45,94,89,2.01,CD,2021-11-04 19:33:29
152,El Sauce,12.8869,-86.539,88.0,77,100,3.18,NI,2021-11-04 19:33:29
153,Vardo,70.3705,31.1107,32.2,86,75,10.36,NO,2021-11-04 19:33:29
154,Victoria,22.2855,114.1577,78.33,85,29,5.01,HK,2021-11-04 19:30:06
155,Butaritari,3.0707,172.7902,82.47,75,13,16.31,KI,2021-11-04 19:33:30
156,Sobolevo,54.4299,31.8996,45.23,84,100,15.05,RU,2021-11-04 19:33:30
157,Panaba,21.2833,-88.2667,80.64,71,100,8.25,MX,2021-11-04 19:33:30
158,Khislavichi,54.1871,32.1582,45.81,84,100,14.65,RU,2021-11-04 19:33:31
