City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
314,Tautira,PF,82.42,moderate rain,-17.7333,-149.15,Pension Oaoa
318,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
319,Phonhong,LA,75.02,few clouds,18.5007,102.4166,Manyvong Guest House
325,Hervey Bay,AU,83.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
326,Hambantota,LK,75.54,heavy intensity rain,6.1241,81.1185,Bungalow 63
329,Kokopo,PG,86.7,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
334,Jaicos,BR,81.16,moderate rain,-7.3592,-41.1378,Hotel Jaicós
344,Diffa,NE,80.15,clear sky,13.3154,12.6113,ProDAF/Diffa
346,Chauk,MM,75.76,clear sky,20.8833,94.8167,Bo Khin Guest House
358,Abonnema,NG,77.65,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
360,Muisne,EC,75.06,overcast clouds,0.6,-80.0333,Quinta Samay
364,Qingyuan,CN,76.98,clear sky,23.7,113.0333,Guojin Commercial Hotel
365,Hobyo,SO,79.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
373,Pochutla,MX,81.45,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
381,Ulladulla,AU,77.77,broken clouds,-35.35,150.4667,Sandpiper Motel
383,Ati,TD,82.02,clear sky,13.2154,18.3353,
390,Benalla,AU,76.98,broken clouds,-36.55,145.9833,Rose City Motor Inn
392,Kapit,MY,75.16,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
396,Noumea,NC,78.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
410,Luanda,AO,77.0,light rain,-8.8368,13.2343,Hotel Fórum
415,Omboue,GA,76.96,overcast clouds,-1.5746,9.2618,Hotel Olako
421,Taoudenni,ML,75.79,clear sky,22.6783,-3.9836,
430,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
431,Luganville,VU,81.48,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
433,Dire,ML,78.8,clear sky,12.2833,-10.9667,
437,Mackay,AU,86.68,overcast clouds,-21.15,149.2,International Lodge Motel
440,Kieta,PG,84.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
443,Basco,PH,81.79,clear sky,20.4487,121.9702,Nathaniel's Lodge
444,Sorong,ID,82.09,broken clouds,-0.8833,131.25,waigo splash hotel
445,Port Blair,IN,82.15,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
450,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
453,Veraval,IN,78.31,overcast clouds,20.9,70.3667,Lords Inn Somnath
457,Humberto De Campos,BR,76.71,few clouds,-2.5983,-43.4611,Pousada do Cabeça
458,Tiarei,PF,82.42,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
467,Aden,YE,81.3,clear sky,12.7794,45.0367,Sama Emirate Hotel
469,Rosa Zarate,EC,75.11,scattered clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
475,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
477,Edd,ER,82.11,clear sky,13.9297,41.6925,
480,Bara,NG,77.04,overcast clouds,10.3744,10.7288,
481,Poya,NC,80.17,broken clouds,-21.35,165.15,
498,Airai,TL,75.72,scattered clouds,-8.9266,125.4092,Juvinal Martin
508,Tutoia,BR,80.26,clear sky,-2.7619,-42.2744,Pousada Guará's
509,Manyana,BW,76.32,overcast clouds,-23.4,21.7167,
511,Coahuayana,MX,78.22,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
514,Bandrele,YT,78.55,overcast clouds,-12.9067,45.1914,Les Baobabs
515,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
517,Almeirim,BR,81.03,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
518,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
519,Cravo Norte,CO,79.45,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
525,Namatanai,PG,84.51,light rain,-3.6667,152.4333,Seagulls Inn Namatani
533,Bintulu,MY,77.36,overcast clouds,3.1667,113.0333,900 Boutique INN
534,Point Fortin,TT,81.14,overcast clouds,10.1833,-61.6833,Jus Les' Suites
535,Calderitas,MX,77.83,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
537,Tabuk,PH,81.73,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
539,Maceio,BR,80.04,moderate rain,-9.6658,-35.7353,Poutur Pousada
541,Carutapera,BR,79.54,broken clouds,-1.195,-46.02,Lidera
543,Porto Novo,BJ,78.78,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
549,Maragogi,BR,78.22,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
561,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
567,Say,NE,83.68,overcast clouds,13.1007,2.3689,
571,Dourbali,TD,84.61,broken clouds,11.8091,15.8632,
575,Misratah,LY,75.34,overcast clouds,32.3754,15.0925,Almasa Hotel
578,Sa Kaeo,TH,78.76,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
579,Bayeux,BR,79.43,scattered clouds,-7.125,-34.9322,Infinity Motel
580,Beruwala,LK,77.92,overcast clouds,6.4788,79.9828,The Palms Hotel
584,Baracoa,CU,78.73,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
587,Batemans Bay,AU,79.2,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
594,Lagos,NG,77.74,overcast clouds,6.5833,3.75,
595,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
603,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
606,Byron Bay,AU,78.06,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
608,Mecca,SA,76.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
616,Mogadishu,SO,78.53,few clouds,2.0371,45.3438,Hotel Juba
621,Elmina,GH,78.87,scattered clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
622,Tessalit,ML,79.23,broken clouds,20.1986,1.0114,
623,Maumere,ID,85.82,overcast clouds,-8.6199,122.2111,Sylvia Hotel
628,Mount Isa,AU,85.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
632,Sola,VU,81.09,broken clouds,-13.8833,167.55,Leumerus Bungalows
635,Banda Aceh,ID,77.29,overcast clouds,5.5577,95.3222,Sulthan Hotel International
640,San Policarpo,PH,82.26,light rain,12.1791,125.5072,Agapita M. Nicart
645,Papara,BR,79.68,overcast clouds,-3.9839,-38.7273,Romin
651,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
657,Salinopolis,BR,80.04,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
664,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
675,San Pedro,PH,85.32,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
677,Moussoro,TD,82.72,clear sky,13.6408,16.4901,Hôtel Salama
679,Kudahuvadhoo,MV,81.79,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
686,Redcliffe,AU,83.48,scattered clouds,-27.2307,153.0973,Redvue Apartments
687,Mangrol,IN,75.63,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
690,Lodwar,KE,82.22,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
696,Sao Jose Da Coroa Grande,BR,78.35,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
703,Miri,MY,78.48,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
706,Labuan,MY,80.76,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
707,Yashan,CN,77.05,clear sky,22.1975,109.9419,
708,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
